Subject: DBS3020

Phoneme Table Data:
0.12393	0.62096	
0.49036	0.57371	
0.853	0.052078	
0.87393	0.9312	
0.27029	0.72866	
0.20846	0.73784	
0.56498	0.063405	
0.64031	0.86044	
0.41703	0.93441	
0.20598	0.9844	
0.94793	0.85894	
0.082071	0.78556	
0.10571	0.51338	
0.14204	0.1776	
0.16646	0.39859	

Triplet Table Data:
0.13393	0.17711	
0.03089	0.66281	
0.93914	0.33083	
0.30131	0.89849	
0.29553	0.11816	
0.33294	0.98842	
0.46707	0.53998	
0.6482	0.70692	
0.025228	0.99949	
0.84221	0.28785	
0.55903	0.41452	
0.8541	0.46484	
0.34788	0.76396	
0.44603	0.8182	
0.054239	0.10022	
